School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Christian Brothers College,35.25,27.42,62.67,1,3,1
Kirkwood,27.14,33.53,60.67,13,2,2
Rockhurst,18.53,41.17,59.7,32,1,3
Blue Springs,33.02,26.54,59.56,4,6,4
Chaminade College Prep,30.19,26.51,56.7,6,7,5
Lamar,29.35,25.72,55.07,9,8,6
Vianney,34.04,20.08,54.12,3,25,7
Lee's Summit West,27.31,25.42,52.74,12,9,8
Maryville,28.42,24.31,52.74,10,11,9
SLUH,22.88,27.12,50.0,19,4,10
Raymore-Peculiar,22.05,26.86,48.91,22,5,11
Hazelwood Central,26.0,22.82,48.82,15,13,12
Lee's Summit,29.89,18.84,48.73,8,31,13
Battle,29.99,18.33,48.32,7,36,14
Park Hill,23.44,24.75,48.19,17,10,15
Jefferson City,34.57,13.31,47.88,2,56,16
Staley,24.15,21.49,45.64,16,19,17
Center,22.52,20.18,42.7,21,24,18
Eureka,19.77,22.34,42.11,26,14,19
Kearney,20.37,21.68,42.05,24,16,20
Jackson,26.13,15.82,41.96,14,42,21
Ft. Zumwalt North,23.17,18.67,41.84,18,33,22
Blue Springs South,20.13,21.57,41.7,25,18,23
Trinity Catholic,22.82,18.74,41.57,20,32,24
Kickapoo,18.48,21.61,40.08,33,17,25
Platte County,28.07,11.54,39.62,11,67,26
Glendale,32.15,7.33,39.48,5,101,27
Parkway North,14.76,24.01,38.77,47,12,28
Richmond,17.86,20.41,38.26,35,23,29
Ladue Horton Watkins,19.24,18.61,37.86,29,34,30
Marquette,17.36,20.5,37.86,37,22,31
Monett,18.26,19.19,37.45,34,29,32
Webb City,15.98,20.83,36.8,44,21,33
Lafayette (Wildwood),16.72,18.86,35.59,40,30,34
Park Hill South,17.42,18.12,35.55,36,37,35
Carthage,16.79,18.56,35.36,39,35,36
Ritenour,19.13,15.55,34.67,30,44,37
Carl Junction,13.31,19.55,32.86,59,28,38
Harrisonville,13.24,19.63,32.86,60,27,39
Francis Howell,12.18,20.04,32.22,67,26,40
Liberty,16.22,14.9,31.11,43,48,41
Liberty (Mountain View),16.47,14.39,30.86,42,50,42
Pattonville,19.35,11.42,30.77,28,69,43
Ft. Zumwalt West,20.91,8.95,29.86,23,88,44
Lawson,19.75,9.86,29.62,27,79,45
Belton,13.9,15.19,29.09,54,45,46
Chillicothe,13.0,15.94,28.94,63,41,47
Mountain Grove,13.75,15.1,28.86,55,46,48
Ozark,11.97,16.87,28.84,68,39,49
Lee's Summit North,15.97,12.79,28.76,45,58,50
Penney,15.88,11.66,27.54,46,66,51
Parkway Central,13.23,14.17,27.4,61,54,52
Hannibal,14.16,12.35,26.52,52,60,53
Poplar Bluff,18.74,7.73,26.47,31,95,54
Webster Groves,8.72,17.66,26.37,93,38,55
McCluer South-Berkeley,11.3,14.8,26.1,73,49,56
Helias Catholic,17.29,8.43,25.72,38,91,57
Blair Oaks,14.5,10.98,25.48,48,70,58
Liberty North,4.22,21.0,25.22,119,20,59
William Chrisman,12.31,12.87,25.18,66,57,60
Cassville,12.32,12.19,24.51,65,63,61
Central (Cape Girardeau),14.28,10.18,24.46,51,77,62
Lutheran North,11.73,12.53,24.26,71,59,63
Summit Christian Academy,13.38,10.46,23.84,58,75,64
Lexington,10.7,12.32,23.02,76,62,65
Parkway West,7.29,15.59,22.88,96,43,66
Willard,11.85,10.76,22.61,70,72,67
Rockwood Summit,9.78,11.8,21.57,81,65,68
Odessa,6.61,14.24,20.86,101,52,69
Fort Osage,6.6,14.26,20.85,102,51,70
Smithville,-1.27,21.74,20.47,162,15,71
Valle Catholic,14.49,5.8,20.29,49,112,72
Raytown South,4.46,14.92,19.38,117,47,73
Mt. Vernon,13.75,5.18,18.93,56,118,74
Central (St. Joseph),13.41,5.49,18.89,57,115,75
Rock Bridge,8.87,9.86,18.73,89,80,76
Timberland,6.4,12.32,18.73,105,61,77
De Smet Jesuit,10.14,8.57,18.71,80,90,78
Hazelwood East,8.94,9.7,18.64,87,82,79
Bolivar,14.28,4.13,18.41,50,128,80
St. Pius X (Kansas City),4.35,14.0,18.35,118,55,81
Oak Grove,6.76,11.53,18.29,100,68,82
Camdenton,11.17,7.02,18.19,74,104,83
Grain Valley,1.81,16.3,18.11,132,40,84
Raytown,7.3,10.74,18.05,95,73,85
Malden,6.4,10.6,16.99,106,74,86
Nixa,6.99,9.99,16.97,97,78,87
Lafayette (St. Joseph),9.64,7.29,16.93,82,102,88
Sikeston,9.11,7.8,16.91,86,93,89
Lebanon,9.36,7.39,16.75,83,100,90
Farmington,10.38,6.24,16.61,77,109,91
Mexico,5.21,10.92,16.13,116,71,92
Owensville,16.52,-0.66,15.86,41,171,93
Excelsior Springs,8.86,6.85,15.71,90,105,94
Clinton,11.08,4.23,15.31,75,126,95
Miller Career Academy,1.02,14.19,15.21,143,53,96
MICDS,5.32,9.84,15.17,113,81,97
Brentwood,13.22,1.72,14.94,62,147,98
Reeds Spring,6.98,7.64,14.62,98,97,99
Hayti,9.23,5.03,14.26,85,120,100
Fox,3.85,10.33,14.18,122,76,101
St. Dominic,2.27,11.89,14.16,129,64,102
Fair Grove,9.32,4.77,14.09,84,121,103
Caruthersville,12.55,1.4,13.96,64,148,104
Francis Howell North,14.12,-1.59,12.53,53,182,105
Pleasant Hill,3.54,8.27,11.81,125,92,106
Ava,4.15,7.63,11.78,120,98,107
West Plains,11.46,0.23,11.69,72,159,108
