School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Chaminade College Prep,34.2,31.06,65.26,3,1,1
Vianney,37.23,24.23,61.46,2,4,2
Staley,28.67,24.33,53.0,6,3,3
Battle,31.67,19.71,51.38,4,9,4
Jackson,29.38,18.88,48.27,5,10,5
Glendale,38.73,9.24,47.97,1,26,6
Ft. Zumwalt North,25.84,20.47,46.32,7,7,7
Park Hill South,19.5,21.36,40.86,11,5,8
Carthage,18.1,21.33,39.44,12,6,9
Liberty,19.65,18.42,38.07,10,11,10
Pattonville,22.5,14.63,37.13,8,16,11
Belton,17.0,18.0,35.0,13,12,12
William Chrisman,15.81,16.63,32.44,15,15,13
Liberty North,6.99,24.64,31.64,28,2,14
Webster Groves,11.3,20.19,31.49,21,8,15
Ozark,14.11,17.27,31.39,17,13,16
Poplar Bluff,20.33,10.08,30.41,9,25,17
Fort Osage,9.91,16.89,26.8,23,14,18
Willard,13.69,12.63,26.32,18,20,19
Rockwood Summit,11.58,14.08,25.66,19,17,20
Central (St. Joseph),16.38,8.64,25.02,14,28,21
Raytown,10.53,13.12,23.65,22,19,22
Timberland,9.05,14.01,23.07,25,18,23
Lebanon,11.56,11.06,22.62,20,22,24
Nixa,8.92,11.33,20.25,26,21,25
Hazelwood East,9.14,10.66,19.8,24,24,26
Republic,4.37,10.82,15.19,32,23,27
Francis Howell North,15.05,-0.3,14.75,16,39,28
Ft. Zumwalt South,6.13,7.73,13.86,29,29,29
Truman,8.55,4.95,13.5,27,33,30
Smith-Cotton,5.32,6.69,12.01,30,30,31
North Kansas City,4.65,6.04,10.7,31,32,32
Branson,1.75,8.83,10.58,35,27,33
Washington,4.03,4.61,8.64,33,35,34
Oakville,0.69,4.71,5.4,37,34,35
Holt,2.33,0.23,2.56,34,38,36
Parkway South,-6.72,6.57,-0.15,41,31,37
Ruskin,-3.36,1.71,-1.65,38,37,38
Parkview,1.34,-3.87,-2.53,36,41,39
Oak Park,-5.36,2.32,-3.05,39,36,40
Waynesville,-11.73,-2.1,-13.84,42,40,41
Hickman,-5.37,-9.25,-14.62,40,42,42
Central (Springfield),-27.03,-20.41,-47.44,43,43,43
