Date,Home Team,Home Score,Away Team,Away Score
2016-08-19,Hillsboro,42,Affton,0
2016-08-19,Drexel with Miami (Amoret),22,Appleton City with Montrose,6
2016-08-19,Crest Ridge,16,Archie,13
2016-08-19,Mountain Grove,35,Aurora,21
2016-08-19,Marshfield,13,Ava,42
2016-08-19,Raymore-Peculiar,48,Belton,21
2016-08-19,Kirksville,0,Blair Oaks,35
2016-08-19,Lee's Summit,45,Blue Springs,58
2016-08-19,Cleveland NJROTC,0,Brentwood,43
2016-08-19,South Shelby,7,Brookfield,14
2016-08-19,Adrian,0,Butler,26
2016-08-19,Jefferson (Festus),26,Cabool,24
2016-08-19,Webb City,7,Carl Junction,23
2016-08-19,Fayette,6,Carrollton,26
2016-08-19,East (Kansas City),0,Center,43
2016-08-19,Sullivan,19,Central (Park Hills),39
2016-08-19,Logan-Rogersville,31,Central (Springfield),6
2016-08-19,Highland,13,Centralia,48
2016-08-19,Crystal City,19,Chaffee,39
2016-08-19,Sikeston,52,Charleston,0
2016-08-19,Marshall,7,Chillicothe,63
2016-08-19,Lutheran North,52,Clayton,0
2016-08-19,Warsaw,26,Clinton,48
2016-08-19,Louisiana,6,Clopton with Elsberry,48
2016-08-19,Concordia,12,Cole Camp,48
2016-08-19,St. James,34,Cuba,12
2016-08-19,Pierce City,14,Diamond,24
2016-08-19,South Harrison,0,East Buchanan,42
2016-08-19,Kelly,0,East Prairie,59
2016-08-19,Boonville,13,Eldon,41
2016-08-19,Ft. Zumwalt West,7,Eureka,44
2016-08-19,Warrensburg,12,Excelsior Springs,40
2016-08-19,Buffalo,7,Fair Grove,49
2016-08-19,Kearney,35,Fort Osage,14
2016-08-19,Farmington,26,Fox,20
2016-08-19,Ft. Zumwalt East,56,Francis Howell Central,48
2016-08-19,Northwest (Cedar Hill),26,Francis Howell North,54
2016-08-19,Ladue Horton Watkins,24,Ft. Zumwalt North,21
2016-08-19,Savannah,10,Grain Valley,14
2016-08-19,Helias Catholic,14,Hannibal,19
2016-08-19,Benton,7,Harrisonville,42
2016-08-19,Confluence Prep Academy Charter,34,Herculaneum,12
2016-08-19,Camdenton,39,Hillcrest,33
2016-08-19,Plattsburg,0,Holden,14
2016-08-19,Pleasant Hope,8,Hollister,56
2016-08-19,Ritenour,30,Holt,0
2016-08-19,Ash Grove,35,Houston,0
2016-08-19,Hickman,7,Jackson,42
2016-08-19,McCluer North,0,Jefferson City,38
2016-08-19,Glendale,61,Joplin,31
2016-08-19,Fredericktown,10,Kennett,57
2016-08-19,Chaminade College Prep,22,Kirkwood,14
2016-08-19,Versailles,22,Knob Noster,6
2016-08-19,Cameron,4,Lafayette County,27
2016-08-19,Cassville,0,Lamar,50
2016-08-19,Trenton,15,Lathrop,31
2016-08-19,Maryville,41,Lawson,15
2016-08-19,Park Hill,37,Lee's Summit North,19
2016-08-19,Blue Springs South,23,Lee's Summit West,35
2016-08-19,Skyline,0,Lexington,35
2016-08-19,Central (St. Joseph),28,Liberty,49
2016-08-19,Central (Cape Girardeau),20,Liberty (Mountain View),39
2016-08-19,Warrenton,6,Liberty (Wentzville),23
2016-08-19,Hogan Prep Academy Charter,46,Lincoln College Prep,14
2016-08-19,Oakville,14,Lindbergh,17
2016-08-19,Liberal with Bronaugh,21,Lockwood with Golden City,50
2016-08-19,Roosevelt,0,Lutheran South,53
2016-08-19,Central (New Madrid County),20,Malden,66
2016-08-19,Scotland County,0,Marceline,27
2016-08-19,Milan,14,Mark Twain,25
2016-08-19,Jennings,0,McCluer,18
2016-08-19,Salem,26,McDonald County,6
2016-08-19,Francis Howell,35,Mehlville,21
2016-08-19,Battle,35,Mexico,13
2016-08-19,Osceola,16,Midway,36
2016-08-19,Willow Springs,40,Miller with Everton,21
2016-08-19,Christian Brothers College,48,Miller Career Academy,0
2016-08-19,Smith-Cotton,27,Moberly,28
2016-08-19,Clark County,0,Monroe City,52
2016-08-19,Hermann,56,Montgomery County,14
2016-08-19,Branson,21,Neosho with Neosho Christian,42
2016-08-19,Seneca,41,Nevada,14
2016-08-19,Willard,13,Nixa,19
2016-08-19,Lafayette (St. Joseph),28,North Kansas City,24
2016-08-19,Gallatin,42,North Platte,6
2016-08-19,Fulton,21,Osage,28
2016-08-19,Carthage,14,Ozark,28
2016-08-19,St. Francis Borgia,54,Pacific,0
2016-08-19,Macon,19,Palmyra,7
2016-08-19,Harrisburg,28,Paris,44
2016-08-19,Winnetonka,0,Park Hill South,19
2016-08-19,Kickapoo,55,Parkview,26
2016-08-19,Parkway Central,9,Parkway North,20
2016-08-19,Parkway West,35,Parkway South,0
2016-08-19,Vianney,30,Pattonville,20
2016-08-19,Bishop LeBlond,25,Pembroke Hill,14
2016-08-19,Maysville with Winston,12,Penney,41
2016-08-19,DeSoto with Kingston,23,Perryville,15
2016-08-19,Grandview,0,Platte County,36
2016-08-19,Smithville,14,Pleasant Hill,11
2016-08-19,Orrick,30,Polo,60
2016-08-19,Riverview Gardens,8,Poplar Bluff,48
2016-08-19,Caruthersville,54,Portageville,7
2016-08-19,Owensville,28,Potosi,24
2016-08-19,Mid-Buchanan,40,Princeton with Mercer,6
2016-08-19,Hallsville,26,Putnam County,13
2016-08-19,Truman,0,Raytown,36
2016-08-19,Mt. Vernon,34,Reeds Spring,47
2016-08-19,Bolivar,18,Republic,27
2016-08-19,Lincoln,52,Rich Hill with Hume,3
2016-08-19,Oak Grove,0,Richmond,14
2016-08-19,Rock Bridge,6,Rockhurst,41
2016-08-19,Marquette,49,Rockwood Summit,6
2016-08-19,Lebanon,31,Rolla,14
2016-08-19,Raytown South,49,Ruskin,8
2016-08-19,Slater,6,Santa Fe,50
2016-08-19,Jasper,12,Sarcoxie,27
2016-08-19,Knox County,40,Schuyler County,0
2016-08-19,Grandview (Hillsboro),8,Scott City,46
2016-08-19,North County,35,Seckman,0
2016-08-19,Marionville,40,Sherwood,0
2016-08-19,Gateway,16,SLUH,50
2016-08-19,Father Tolton,15,South Callaway,38
2016-08-19,North Callaway,20,Southern Boone,48
2016-08-19,Duchesne,27,St. Charles,32
2016-08-19,Bowling Green,15,St. Clair,60
2016-08-19,John Burroughs,26,St. Dominic,27
2016-08-19,Tipton,6,St. Paul Lutheran (Concordia),30
2016-08-19,Windsor (Imperial),56,St. Pius X (Festus),33
2016-08-19,Odessa,13,St. Pius X (Kansas City),14
2016-08-19,Liberty North,13,Staley,31
2016-08-19,Dexter,6,Ste. Genevieve,35
